# file...... wh_output.csv
# date...... Tue Jan 26 01:18:09 2021
# user...... X260
# host...... (null)
# target.... waterheater 22
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,is_waterheater_on, temperature, height,water_demand,heatgain,load_state,waterheater_model
2010-01-01 00:00:00 PST,+0,+120,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 00:10:00 PST,+0,+119.938,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 00:20:00 PST,+0,+119.877,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 00:30:00 PST,+0,+119.815,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 00:40:00 PST,+0,+119.753,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 00:50:00 PST,+0,+119.692,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 01:00:00 PST,+0,+119.631,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 01:10:00 PST,+0,+119.57,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 01:20:00 PST,+0,+119.509,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 01:30:00 PST,+0,+119.448,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 01:40:00 PST,+0,+119.387,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 01:50:00 PST,+0,+119.326,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 02:00:00 PST,+0,+119.265,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 02:10:00 PST,+0,+119.205,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 02:20:00 PST,+0,+119.144,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 02:30:00 PST,+0,+119.084,+3.782,+0.39,+0,DEPLETING,ONEZNODE
2010-01-01 02:40:00 PST,+1,+119.161,+3.782,+0,+0,RECOVERING,ONEZNODE
2010-01-01 02:50:00 PST,+0,+119.938,+3.782,+0.01,+0,DEPLETING,ONEZNODE
2010-01-01 03:00:00 PST,+0,+119.757,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 03:10:00 PST,+0,+119.696,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 03:20:00 PST,+0,+119.635,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 03:30:00 PST,+0,+119.574,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 03:40:00 PST,+0,+119.513,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 03:50:00 PST,+0,+119.452,+3.782,+0.32,+0,DEPLETING,ONEZNODE
2010-01-01 04:00:00 PST,+1,+119.439,+3.782,+0,+0,RECOVERING,ONEZNODE
2010-01-01 04:10:00 PST,+0,+119.941,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 04:20:00 PST,+0,+119.879,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 04:30:00 PST,+0,+119.818,+3.782,+0.13,+0,DEPLETING,ONEZNODE
2010-01-01 04:40:00 PST,+0,+118.224,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 04:50:00 PST,+0,+118.165,+3.782,+0.09,+0,DEPLETING,ONEZNODE
2010-01-01 05:00:00 PST,+0,+119.484,+3.782,+0.23,+0,DEPLETING,ONEZNODE
2010-01-01 05:10:00 PST,+1,+119.565,+3.782,+0,+0,RECOVERING,ONEZNODE
2010-01-01 05:20:00 PST,+0,+119.933,+3.782,+0,+0,DEPLETING,ONEZNODE
2010-01-01 05:30:00 PST,+0,+119.872,+3.782,+0,+0,DEPLETING,ONEZNODE
